id,title,actor,type,duration,automatable,tool,destructive,has_command,has_verification,has_rollback,has_guardrail,verification,rollback
S1,Open and document the requisition,Hiring Manager,semi-automated,60m,partial,ats,no,yes,yes,no,no,"A requisition record exists in the ATS with role, level, reporting line, and business case.",
S2,Approve headcount and budget,Compensation / Finance Approver,decision,30m,no,manual,no,no,yes,no,no,"The requisition shows an approval record with approver, date, and budgeted band.",
S3,Finalize the job description and selection criteria,Recruiter / Talent Acquisition,manual,90m,no,manual,no,no,yes,no,yes,Every listed requirement is job-related and consistent with business necessity; the scorecard defines competencies with behavioral anchors.,
S4,Source candidates,Recruiter / Talent Acquisition,semi-automated,240m,partial,ats,no,yes,yes,no,no,The role is posted to all required channels and a candidate pipeline is building in the ATS.,
S5,Screen applications,Recruiter / Talent Acquisition,semi-automated,180m,partial,ats,no,yes,yes,no,yes,All applicants are screened against the same criteria and screening decisions are logged.,
S6,Recruiter phone screen,Recruiter / Talent Acquisition,manual,180m,no,manual,no,no,yes,no,no,Each candidate is screened with the same core questions; notes are recorded in the ATS.,
S7,Administer job-related assessments,Recruiter / Talent Acquisition,semi-automated,60m,partial,ats,no,yes,yes,no,yes,The same assessment is sent to all candidates for the role and results are recorded.,
S8,Conduct structured interviews,Interview Panel,manual,240m,no,manual,no,no,yes,no,yes,Every interviewer completes an anchored scorecard with evidence notes; the same core questions were used.,
S9,Debrief and make the selection decision,Hiring Manager,decision,60m,no,manual,no,no,yes,no,no,The decision and its rationale are documented and stored; the selection-rate is checked against the 4/5 rule.,
S10,Complete reference checks,Recruiter / Talent Acquisition,manual,60m,no,manual,no,no,yes,no,no,References are completed with consistent questions and results are recorded.,
S11,Approve compensation and extend a conditional verbal offer,Recruiter / Talent Acquisition,manual,60m,no,manual,no,no,yes,no,no,Compensation is approved and within band; the conditional verbal offer and its terms are confirmed by email.,
S12,Candidate response and negotiation,Candidate,decision,30m,no,manual,no,no,yes,no,no,The candidate's response is recorded; any negotiated changes are captured before proceeding.,
S13,"Disclose, authorize, and run the background check",HR Business Partner,semi-automated,30m,partial,cra-api,no,yes,yes,no,yes,A signed standalone disclosure and authorization are on file before the report is ordered; the report is stored securely.,
S14,Adjudicate the results,HR Business Partner,decision,45m,no,manual,no,no,yes,no,no,The adjudication applies job-relatedness and an individualized assessment; the rationale is documented.,
S15,Run FCRA adverse action (only if withdrawing),HR Business Partner,decision,90m,no,manual,no,no,yes,no,yes,Both notices are documented with dates and the waiting period is observed; no irreversible internal action is taken during the waiting period.,
S16,Extend the formal written offer,HR Business Partner,semi-automated,60m,partial,e-signature,no,yes,yes,no,yes,The sent offer matches approved terms; non-standard terms were reviewed by Legal; an acceptance deadline is set.,
S17,Countersign and execute the agreement,HR Business Partner,manual,30m,no,manual,no,no,yes,no,no,Candidate signature and employer countersignature are on file; the start date is confirmed.,
S18,Initiate right-to-work and hand off to onboarding,HR Business Partner,semi-automated,45m,partial,e-verify,no,yes,yes,no,yes,Form I-9 is initiated and the onboarding handoff package is delivered to the onboarding owner.,
